region,day_type,time_slice,feature,mae,mape_pct,mean_pems,mean_sl
low,weekday,midday,hour_cos,0.0,0.0,-0.9327804920294028,-0.9327804920294028
low,weekday,midday,dow_sin,0.0,0.0,0.3479115430774451,0.3479115430774451
low,weekday,midday,dow_cos,0.0,0.0,-0.15775365832047078,-0.15775365832047078
low,weekday,off_peak,flow,137.9144265232975,52.70073617531244,261.69354838709677,321.2334229390681
low,weekday,off_peak,speed,2.4615591397849466,3.662521648354726,67.20940860215053,65.27374551971326
low,weekday,off_peak,density_proxy,2.131498869239229,54.887732574034864,3.8833793441260753,4.933717924751418
low,weekday,off_peak,flow_diff1,85.38172043010752,71.11479300539597,-46.11290322580645,-84.76344086021506
low,weekday,off_peak,speed_diff1,1.8387096774193548,421.0094378334018,0.04516129032258061,0.3172043010752688
low,weekday,off_peak,hour_sin,0.0,0.0,0.013297891356300552,0.013297891356300552
low,weekday,off_peak,hour_cos,0.0,0.0,0.6911470465174028,0.6911470465174028
low,weekday,off_peak,dow_sin,0.0,0.0,0.36367354473460245,0.36367354473460245
low,weekday,off_peak,dow_cos,0.0,0.0,-0.1427694807079315,-0.1427694807079315
low,weekday,pm_peak,flow,872.1335830212234,58.30173767101508,1495.896379525593,1865.5605493133583
low,weekday,pm_peak,speed,3.684644194756554,5.5681119282186335,66.17403245942572,63.227215980024965
low,weekday,pm_peak,density_proxy,14.666097715318367,64.30239319168915,22.80801224862329,29.887799642929597
low,weekday,pm_peak,flow_diff1,209.270911360799,81.14456110796459,-138.30337078651687,-155.84644194756555
low,weekday,pm_peak,speed_diff1,1.558426966292135,176.1394101876676,0.31098626716604255,-0.033707865168539325
low,weekday,pm_peak,hour_sin,0.0,0.0,-0.8827683486394126,-0.8827683486394126
low,weekday,pm_peak,hour_cos,0.0,0.0,-0.37030870741063004,-0.37030870741063004
low,weekday,pm_peak,dow_sin,0.0,0.0,0.3742641930390745,0.3742641930390745
low,weekday,pm_peak,dow_cos,0.0,0.0,-0.13270146024467477,-0.13270146024467477
low,weekend,am_peak,flow,289.2638888888889,47.44380470747695,609.6979166666666,632.1909722222222
low,weekend,am_peak,speed,1.6291666666666664,2.4141514967533464,67.48402777777778,67.48263888888889
low,weekend,am_peak,density_proxy,4.3795242761110265,48.45081155566837,9.039114383211308,9.42479580502845
low,weekend,am_peak,flow_diff1,113.26736111111111,55.37241988049972,204.55555555555554,239.51041666666666
low,weekend,am_peak,speed_diff1,1.255902777777778,340.90480678605076,0.08020833333333338,-0.059027777777777776
low,weekend,am_peak,hour_sin,0.0,0.0,0.8847645028150137,0.8847645028150137
low,weekend,am_peak,hour_cos,0.0,0.0,-0.366481456572267,-0.366481456572267
low,weekend,am_peak,dow_sin,0.0,0.0,-0.8783796973249268,-0.8783796973249268
low,weekend,am_peak,dow_cos,0.0,0.0,0.2004844339512094,0.2004844339512094
low,weekend,midday,flow,714.1722222222222,48.63764573681393,1468.3527777777779,1808.125
low,weekend,midday,speed,2.3877777777777776,3.5800854622541705,66.69611111111112,65.96944444444445
low,weekend,midday,density_proxy,11.564979316357764,52.25858771424699,22.130294411314264,27.589946320246124
low,weekend,midday,flow_diff1,146.79722222222222,100.58623118064676,107.43611111111112,159.27777777777777
low,weekend,midday,speed_diff1,0.9752777777777778,143.13086017121893,-0.1908333333333334,-0.12777777777777777
low,weekend,midday,hour_sin,0.0,0.0,1.1287267417022424e-16,1.1287267417022424e-16
low,weekend,midday,hour_cos,0.0,0.0,-0.9327804920294029,-0.9327804920294029
low,weekend,midday,dow_sin,0.0,0.0,-0.8783796973249268,-0.8783796973249268
low,weekend,midday,dow_cos,0.0,0.0,0.20048443395120938,0.20048443395120938
low,weekend,off_peak,flow,122.06565656565657,47.810884992952694,255.30934343434345,288.9179292929293
