region,feature_group,time_slice,day_type,n_pairs,energy,wasserstein,mmd,flow_error_abs,flow_error_pct,speed_error_abs,speed_error_pct,mean_flow_pems,mean_flow_sl,mean_speed_pems,mean_speed_sl
low,all,midday,weekend,360,0.18996265987657068,0.28541378494540914,0.02209041224310354,714.1722222222222,48.63764573681393,2.3877777777777776,3.5800854622541705,1468.3527777777779,1808.125,66.69611111111112,65.96944444444445
low,all,off_peak,weekday,2232,0.34755918041560463,0.3339069620735095,0.07299866498626584,137.9144265232975,52.70073617531244,2.4615591397849466,3.662521648354726,261.69354838709677,321.2334229390681,67.20940860215053,65.27374551971326
low,all,off_peak,weekend,792,0.35234012217722643,0.32768912857351445,0.07562984285804258,122.06565656565657,47.810884992952694,2.5727272727272728,3.8237932419296112,255.30934343434345,288.9179292929293,67.28207070707072,65.41035353535354
low,all,pm_peak,weekday,801,0.36330269203933163,0.3303797637656603,0.04463363065117543,872.1335830212234,58.30173767101508,3.684644194756554,5.5681119282186335,1495.896379525593,1865.5605493133583,66.17403245942572,63.227215980024965
low,all,pm_peak,weekend,288,0.37547404426326025,0.34427199103629874,0.04960178682590949,615.4861111111111,48.59527151504518,3.022916666666667,4.512470715070596,1266.5555555555557,1608.1458333333333,66.99027777777776,65.29166666666667
rural,all,am_peak,weekday,920,1.1625452370433287,0.5705038002686251,0.19547765764561698,486.55326086956524,14.323669642571438,11.663804347826087,20.187374777774643,3396.8478260869565,3359.157608695652,57.77771739130435,69.43913043478261
rural,all,am_peak,weekend,320,0.9122437161911461,0.4790312945399251,0.16877807038223752,400.190625,16.56047578343526,6.949375000000001,10.510842644584352,2416.540625,2506.3875,66.11625,73.065625
rural,all,midday,weekday,1150,0.8144369320731788,0.4889081678007783,0.15146937706727648,645.62,18.45952612470112,10.203826086956523,17.564889381193307,3497.4895652173914,4006.6939130434785,58.09217391304348,67.6295652173913
rural,all,midday,weekend,400,0.36897894614677007,0.3616540833948746,0.053485053524589043,494.38,11.79555453755929,12.411,23.517485101424008,4191.24,4398.155,52.773500000000006,64.93
rural,all,off_peak,weekday,2480,0.6177459882678424,0.4047501445846662,0.11275878455710331,574.7608870967742,39.19473285211362,5.537701612903226,8.499278704676136,1466.4237903225805,1392.516129032258,65.15495967741936,70.5733870967742
rural,all,off_peak,weekend,880,0.5475988361727504,0.3653137310471415,0.09956158133178705,377.2227272727273,23.67618665869748,6.034204545454545,9.241015413584211,1593.2579545454546,1386.771590909091,65.29806818181818,71.32272727272728
rural,all,pm_peak,weekday,890,0.4561035904689841,0.38477669372113976,0.08300809725319114,637.9820224719101,17.96656495810415,6.145730337078652,9.943625459258895,3550.9404494382024,4084.1539325842696,61.80573033707865,66.74157303370787
rural,all,pm_peak,weekend,320,0.45667612430140014,0.3984578087260243,0.07099368342940615,492.040625,12.397180945002287,12.4221875,23.50808716993406,3968.971875,4257.2,52.8421875,64.878125
urban,all,am_peak,weekday,1012,0.07777149763271574,0.16445879100259522,0.016580150850739217,2331.26185770751,66.10114167814471,11.737351778656127,20.48092640232842,3526.810276679842,4205.744071146245,57.30869565217392,57.69268774703557
urban,all,am_peak,weekend,352,0.06076163831926529,0.15294068643563946,0.015422180432534294,924.2443181818181,49.197021570026976,4.96875,7.529186899473086,1878.659090909091,1998.215909090909,65.99318181818181,66.54261363636364
urban,all,midday,weekday,1265,0.13439442652158506,0.18822606095411093,0.031611108332647575,1864.0632411067193,49.190262329013024,6.875652173913044,11.086128859980857,3789.496442687747,4572.958893280633,62.0203162055336,61.66798418972332
urban,all,midday,weekend,440,0.1736571196900485,0.23574959931949874,0.043474450911090534,1377.0659090909091,40.435824847875736,5.365681818181819,8.379801020100306,3405.559090909091,3968.4113636363636,64.03113636363636,64.95681818181818
urban,all,off_peak,weekday,2728,0.0915556067756258,0.1826000203921814,0.01581931459760022,913.6187683284458,71.49456465615168,5.163352898019076,7.749175411716064,1277.8856304985338,1592.8511730205278,66.58214809384164,64.56456346294938
urban,all,off_peak,weekend,968,0.09777757557862099,0.1705102100147214,0.020340115297627803,641.9803719008264,55.41652212917327,5.026652892561983,7.56392917657666,1158.4638429752067,1408.6363636363637,66.4555785123967,65.0909090909091
